ghcn_din;date;prcp;snow;tmax;tmin;elevation;name;coord;country_code
ITM00016064;2015-03-09;0.0;;11.4;-1.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-05;0.0;;22.8;14.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-12;0.0;;;14.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-05-29;0.0;;23.2;11.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-06-05;0.0;;;19.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-23;0.0;;34.6;20.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-07-29;;;31.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-19;79.0;;;15.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-08-28;0.0;;30.0;18.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-03;8.0;;;18.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-08;0.0;;23.4;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-09-22;0.0;;20.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-10-20;0.0;;15.6;7.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-11-13;0.0;;16.4;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2015-12-03;;;2.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-01-14;;;5.6;-2.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-02-09;61.0;;7.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-02-24;0.0;;12.4;-1.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-03-02;;;13.0;1.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-03-30;3.0;;16.0;8.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-06-07;0.0;;;15.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-07-05;0.0;;28.4;18.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-08-01;;;29.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-08-16;0.0;;29.4;18.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-06;0.0;;29.2;13.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-17;0.0;;24.0;11.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-20;0.0;;25.4;11.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-25;0.0;;25.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-10-09;;;;8.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-10-20;0.0;;18.2;;178.6;CAMERI;45.53, 8.669;IT
